"ir",1648188
"kad",506375
"į",388173
"yra",338632
"tai",334625
"su",316633
"buvo",290808
"o",279439
"kaip",256924
"iš",256228
"ar",227796
"savo",197387
"apie",184034
"tik",159387
"bet",156513
"ne",154925
"nuo",149956
"jis",145080
"dar",123813
"jau",120311
"tačiau",118459
"jų",114764
"jo",114676
"kai",114136
"gali",113926
"po",110254
"labai",107467
"per",106975
"taip",106494
"dėl",105206
"lietuvos",102578
"būti",102408
"jei",101587
"arba",97677
"bei",95726
"turi",95209
"už",94776
"jie",91431
"jos",90417
"nes",90072
"kas",86170
"aš",85482
"to",78594
"ji",76123
"nei",76035
"metų",75911
"prie",75609
"m",71817
"iki",71805
"net",71504
"galima",70485
"būtų",69727
"daugiau",69054
"metu",65887
"čia",64882
"mūsų",64534
"nėra",64170
"bus",63578
"todėl",63548
"daug",63055
"prieš",61564
"mano",60588
"reikia",60113
"pagal",60011
"kurie",59170
"dabar",57801
"man",57611
"d",56671
"mes",55576
"ką",54329
"jog",53738
"kur",52037
"europos",51466
"kuris",49927
"valstybės",49021
"ant",48256
"darbo",48103
"jeigu",47960
"vienas",47945
"be",47196
"žmonių",45103
"nors",44964
"jį",44652
"gal",44351
"visi",44254
"tiek",44079
"lietuvoje",42181
"a",42091
"tuo",41075
"tarp",40338
"i",39897
"žmonės",38696
"kuri",38194
"metais",37555
"tikrai",37323
"kiek",37298
"ten",36364
"lt",36280
"kurios",36256
"tada",35138
"jam",35073
"juos",34951
"kitų",34264
"viena",31918
"ją",31883
"šis",31265
"vieną",30948
"nieko",30723
"šios",30508
"dalis",30405
"kartą",30081
"tas",29780
"pats",29111
"žmogus",28961
"gerai",28843
"turėtų",28010
"kartu",27919
"metus",27783
"žmogaus",27734
"šiuo",27717
"taigi",27679
"tu",27569
"toks",27560
"jūsų",27470
"kodėl",27436
"ypač",27341
"vis",27325
"nebuvo",27304
"toliau",27105
"kurių",27063
"šį",26967
"gyvenimo",26964
"lietuvių",26938
"vėliau",26934
"laiko",26502
"šio",25938
"visą",25873
"juk",25727
"tiesiog",25630
"teisės",25140
"viskas",25139
"dieną",24950
"vilniaus",24911
"ši",24882
"jūs",24874
"pasaulio",24800
"jiems",24528
"visų",24103
"kuo",23955
"tą",23578
"turėjo",23257
"vėl",23246
"beveik",23234
"du",23093
"šių",23046
"visa",22985
"žemės",22891
"visai",22726
"dažnai",22705
"visiškai",22691
"tam",22467
"p",22353
"es",22302
"tapo",22173
"labiau",22145
"kiti",22128
"jav",21970
"mane",21797
"kadangi",21715
"tokia",21696
"straipsnio",21667
"miesto",21657
"negali",21330
"kalba",21242
"ko",21237
"mums",21204
"atveju",21144
"na",20691
"tad",20527
"šiandien",20089
"visus",20008
"visada",20007
"ta",19991
"pas",19892
"kartais",19761
"pavyzdžiui",19656
"kol",19639
"kitas",19587
"šalies",19483
"kitą",19444
"visos",19218
"manau",19200
"atrodo",19178
"straipsnis",19011
"jums",18984
"kurį",18983
"geriau",18837
"tokių",18828
"b",18604
"kurio",18376
"karo",18293
"is",18245
"šią",18190
"kultūros",18068
"s",18061
"galėtų",18060
"veiklos",17973
"mažiau",17937
"visas",17878
"žinoma",17470
"visuomenės",17081
"save",17059
"lietuva",16981
"jai",16909
"mus",16878
"tie",16718
"sako",16656
"niekas",16500
"pasaulyje",16394
"pradėjo",16302
"šalių",16273
"kurią",16116
"būtent",16097
"vietos",16074
"tiesa",15886
"sakė",15881
"informacijos",15833
"nori",15694
"kitos",15672
"kita",15603
"gyventojų",15590
"kuriuos",15565
"dažniausiai",15558
"vandens",15555
"irgi",15522
"vaikų",15365
"tokie",15364
"rusijos",15355
"neturi",15236
"viską",15109
"nr",15090
"kalbos",15032
"tuomet",14998
"tos",14980
"šie",14829
"dievo",14814
"sau",14778
"kiekvienas",14735
"patys",14723
"daryti",14644
"kauno",14640
"narių",14613
"dalį",14532
"anksčiau",14448
"valdžios",14445
"sąjungos",14386
"valstybių",14362
"pinigų",14327
"visiems",14310
"kada",14290
"apsaugos",14175
"tarybos",14174
"tokios",14164
"jas",14115
"esu",14041
"kurioje",13942
"priklauso",13916
"darbą",13915
"pati",13903
"c",13901
"štai",13899
"dienos",13893
"oro",13824
"sistema",13765
"tų",13714
"užsienio",13685
"gauti",13659
"gyvenimą",13632
"mokslo",13625
"komentarai",13624
"reiškia",13560
"tokiu",13521
"dvi",13455
"būdu",13433
"sistemos",13408
"sunku",13346
"tavo",13338
"tokio",13244
"maisto",13237
"netgi",13231
"atsakyti",13221
"niekada",13193
"bent",13118
"gana",13103
"kuriame",13102
"padaryti",13092
"verslo",13034
"dauguma",13027
"būna",12955
"vietoje",12808
"šeimos",12701
"paprastai",12679
"tampa",12588
"įmonės",12587
"būtina",12538
"koks",12513
